id,nombre,latitud,longitud
C839I,TEGUISE,291355,-133007
C439J,GÜÍMAR,281906,-162256
C929I,HIERRO AEROPUERTO,274908,-175320
C430E,IZAÑA,281832,-162958
C139E,LA PALMA AEROPUERTO,283759,-174518
C459Z,PUERTO DE LA CRUZ,282505,-163253
C329Z,SAN SEBASTIÁN DE LA GOMERA,280523,-170641
C449C,STA.CRUZ DE TENERIFE,282748,-161519
C129Z,TAZACORTE,283545,-175455
C447A,TENERIFE NORTE AEROPUERTO,282839,-161946
C429I,TENERIFE SUR AEROPUERTO,280249,-163340
